Gene	test_allele_count	test_gnomAD_allele_count_iCFgCFadjust	test_P_rvexcaliber_base_iCFgCFadjust
MCPH1	16	13.7558409211792	0.313510793018977
SLC5A2	16	14.1045933997381	0.313968785185198
TJP1	14	12.172438376016	0.315612451896444
TAAR2	20	17.8054054646458	0.315853693829656
KIF21A	14	12.2416843807346	0.316095986848767
CEP112	11	9.44750181675617	0.317500676781213
TDP2	11	9.45776811312008	0.318543914336579
IFT27	5	3.75939228375487	0.318970265097922
CYP2C19	11	9.46470264971966	0.319287485617589
SUSD1	16	14.1626064699096	0.319419542618941
ATAD3B	15	13.1118376683277	0.320431719354826
HNRNPA1L2	12	10.4181972831682	0.321133339954553
NTN3	13	10.4431613134403	0.322039359954754
PDIA4	11	9.35948438226898	0.322799964541981
ARAP2	21	18.9610217767591	0.323189928234076
C17orf80	22	19.8205421971329	0.32403506006278
MLH1	16	13.8994737572624	0.324707571030686
ASTE1	7	5.68597732590254	0.325220255430693
PCDHB8	98	93.8527694171372	0.325305010160202
ITGA11	15	13.283381576244	0.325389815122276
WAC	5	3.53501163813286	0.325718747880356
OR4D6	17	15.179127311212	0.3257550428379
ZBTB7C	13	11.401160435663	0.325858465848705
MSS51	13	10.5127345937644	0.326007889905605
ABCA9	13	11.2838498454348	0.326334293644499
GCAT	12	10.338598673235	0.326436996966766
